时间,0:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,0:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,1:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,1:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,2:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,2:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,3:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,3:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,4:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,4:39:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,5:9:18
夹具序号：2
序号-测试目,枚举异常,打开设备异常,发送指令异常,RF功率异常
1,35,48,48,48
2,1,1,1,1
3,1665,1665,1665,1675
4,0,0,0,0
5,1,1,1,1
6,1,1,1,1
7,0,0,0,0
8,1,1,1,1
9,7,7,7,18
10,0,0,0,0
11,5,5,5,12
时间,5:39:18
